,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender_Male,Married_Yes,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban,Loan_Status_N,0
0,0.7616289136640637,0.0,0.5922544495715227,0.7435897435897436,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,
1,0.6575085796789246,0.5143102151123218,0.5024390243902439,0.7435897435897436,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,
2,0.5042420020522937,0.0,0.2,0.7435897435897436,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,
3,0.4574159656809083,0.6431264627423285,0.46341463414634143,0.7435897435897436,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,
4,0.77326016883032,0.0,0.5658536585365853,0.7435897435897436,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,
5,0.42751010735422484,0.5156726286651192,0.34146341463414637,0.7435897435897436,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,
6,0.5081271851021139,0.6627376473877437,0.6487804878048781,0.7435897435897436,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,
7,0.6052771884917574,0.5173706004270856,0.697560975609756,0.7435897435897436,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,
8,0.5255416454223458,0.3504075858657172,0.21951219512195125,0.7435897435897436,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,
9,0.447654519083237,0.5681112520163654,0.40975609756097564,0.7435897435897436,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,
10,0.36520256191177464,0.7058032430192684,0.4341463414634147,0.7435897435897436,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,
11,0.6890305560495122,0.0,0.4878048780487805,0.7435897435897436,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,
12,0.5658351207720183,0.0,0.36585365853658536,0.4871794871794872,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,
13,0.5572809981705189,0.0,0.24878048780487805,0.7435897435897436,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,
14,0.6837046548028736,0.0,0.526829268292683,0.7435897435897436,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,
15,0.45939585343739314,0.7835351818273381,0.4390243902439025,0.7435897435897436,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,
16,0.892568447174082,0.0,0.3853658536585366,0.7435897435897436,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,
17,0.45939585343739314,0.5789683498378949,0.4439024390243902,0.7435897435897436,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,
18,0.5426175039535723,0.5798765360429309,0.42439024390243907,0.7435897435897436,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,
19,0.5776992021252003,0.7162875699239616,0.6146341463414634,0.7435897435897436,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,
20,0.48210766997098947,0.6286444349905785,0.47317073170731705,0.7435897435897436,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,
21,0.625609673104643,0.4271113860768298,0.41463414634146345,0.7435897435897436,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,
22,0.3050512112381485,0.0,0.048780487804878064,0.7435897435897436,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,
23,0.5809012188318585,0.6044621540696392,0.46341463414634143,0.7435897435897436,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,
